Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Marek Jiras;22;2000;10/01/2000;0;0;1
Rita Kobán;35;2000;10/01/2000;0;1;0
Lars Kober;23;2000;10/01/2000;0;0;1
Michael Kolganov;25;2000;10/01/2000;0;0;1
György Kolonics;28;2000;10/01/2000;1;0;0
Grzegorz Kotowicz;27;2000;10/01/2000;0;0;1
Krzysztof Kolomanski;27;2000;10/01/2000;0;1;0
Mariana Limbau;23;2000;10/01/2000;0;0;1
Tomáš Máder;26;2000;10/01/2000;0;0;1
Michal Martikán;21;2000;10/01/2000;0;1;0
Juraj Mincík;23;2000;10/01/2000;0;0;1
Manuela Mucke;25;2000;10/01/2000;1;0;0
Henrik Nilsson;24;2000;10/01/2000;0;1;0
Ferenc Novák;31;2000;10/01/2000;1;0;0
Maksim Opalev;21;2000;10/01/2000;0;1;0
Markus Oscarsson;23;2000;10/01/2000;0;1;0
Aneta Pastuszka-Konieczna;22;2000;10/01/2000;0;0;1
Leobaldo Pereira;28;2000;10/01/2000;0;1;0
Imre Pulai;32;2000;10/01/2000;1;0;0
Elena Radu;25;2000;10/01/2000;0;0;1
Paul Ratcliffe;26;2000;10/01/2000;0;1;0
Ronald Rauhe;18;2000;10/01/2000;0;0;1
Ibrahim Rojas;24;2000;10/01/2000;0;1;0
Antonio Rossi;31;2000;10/01/2000;1;0;0
Jan Schäfer;25;2000;10/01/2000;0;1;0
Thomas Schmidt;24;2000;10/01/2000;1;0;0
Anett Schuck;30;2000;10/01/2000;1;0;0
Adam Seroczynski;26;2000;10/01/2000;0;0;1
Beata Sokolowska-Kulesza;26;2000;10/01/2000;0;0;1
Michal Staniszewski;27;2000;10/01/2000;0;1;0
Sanda Toma;30;2000;10/01/2000;0;0;1
Andrew Trim;31;2000;10/01/2000;0;1;0
Stefan Ulm;24;2000;10/01/2000;0;1;0
Stefan Uteß;25;2000;10/01/2000;0;0;1
Krisztián Veréb;23;2000;10/01/2000;0;0;1
Ákos Vereckei;23;2000;10/01/2000;1;0;0
Erzsébet Viski;20;2000;10/01/2000;0;1;0
Tim Wieskötter;21;2000;10/01/2000;0;0;1
Marek Witkowski;26;2000;10/01/2000;0;0;1
Mark Zabel;27;2000;10/01/2000;0;1;0
Brett Anderson;20;2008;08/24/2008;0;0;1
Jake Arrieta;22;2008;08/24/2008;0;0;1
Brian Barden;27;2008;08/24/2008;0;0;1
Alexei Bell;24;2008;08/24/2008;0;1;0
Bong Jung-Keun;28;2008;08/24/2008;1;0;0
Matt Brown;26;2008;08/24/2008;0;0;1
Trevor Cahill;20;2008;08/24/2008;0;0;1
Frederich Cepeda;28;2008;08/24/2008;0;1;0
Jeremy Cummings;31;2008;08/24/2008;0;0;1
Alfredo Despaigne;22;2008;08/24/2008;0;1;0
Jason Donald;23;2008;08/24/2008;0;0;1
Brian Duensing;25;2008;08/24/2008;0;0;1
Giorvis Duvergel;28;2008;08/24/2008;0;1;0
Michel Enríquez;29;2008;08/24/2008;0;1;0
Dexter Fowler;22;2008;08/24/2008;0;0;1
John Gall;30;2008;08/24/2008;0;0;1
Gang Min-Ho;22;2008;08/24/2008;1;0;0
Go Yeong-Min;24;2008;08/24/2008;1;0;0
Norberto González;28;2008;08/24/2008;0;1;0
Yulieski Gourriel;24;2008;08/24/2008;0;1;0
Gwon Hyeok;24;2008;08/24/2008;1;0;0
Han Gi-Ju;21;2008;08/24/2008;1;0;0
Mike Hessman;30;2008;08/24/2008;0;0;1
Jang Won-Sam;25;2008;08/24/2008;1;0;0
Jeong Dae-Hyeon;29;2008;08/24/2008;1;0;0
Jeong Geun-U;25;2008;08/24/2008;1;0;0
Kevin Jepsen;24;2008;08/24/2008;0;0;1
Jin Gab-Yong;34;2008;08/24/2008;1;0;0
Kim Dong-Ju;32;2008;08/24/2008;1;0;0
Kim Gwang-Hyeon;20;2008;08/24/2008;1;0;0
Kim Hyeon-Su;20;2008;08/24/2008;1;0;0
Kim Min-Jae;35;2008;08/24/2008;1;0;0
Brandon Knight;32;2008;08/24/2008;0;0;1
Mike Koplove;31;2008;08/24/2008;0;0;1
Miguel La Hera;23;2008;08/24/2008;0;1;0
Matt LaPorta;23;2008;08/24/2008;0;0;1
Pedro Luis Lazo;35;2008;08/24/2008;0;1;0
Lee Dae-Ho;26;2008;08/24/2008;1;0;0
Lee Jin-Yeong;28;2008;08/24/2008;1;0;0
Lee Jong-Uk;28;2008;08/24/2008;1;0;0
Lee Seung-Yeop;31;2008;08/24/2008;1;0;0
Lee Taek-Geun;28;2008;08/24/2008;1;0;0
Lee Yong-Gyu;22;2008;08/24/2008;1;0;0
Lou Marson;22;2008;08/24/2008;0;0;1
Jonder Martínez;30;2008;08/24/2008;0;1;0
Alexander Mayeta;31;2008;08/24/2008;0;1;0
Rolando Meriño;37;2008;08/24/2008;0;1;0
Luis Miguel Navas;28;2008;08/24/2008;0;1;0
Blaine Neal;30;2008;08/24/2008;0;0;1
Jayson Nix;25;2008;08/24/2008;0;0;1
O Seung-Hwan;26;2008;08/24/2008;1;0;0
Vicyohandri Odelín;28;2008;08/24/2008;0;1;0
Héctor Olivera Jr.;23;2008;08/24/2008;0;1;0
Adiel Palma;37;2008;08/24/2008;0;1;0
Eduardo Paret;35;2008;08/24/2008;0;1;0
Park Jin-Man;31;2008;08/24/2008;1;0;0
Yadier Pedroso;22;2008;08/24/2008;0;1;0
Ariel Pestano;34;2008;08/24/2008;0;1;0
Luis Miguel Rodríguez;35;2008;08/24/2008;0;1;0
Ryu Hyeon-Jin;21;2008;08/24/2008;1;0;0
Elier Sánchez;21;2008;08/24/2008;0;1;0
Eriel Sánchez;33;2008;08/24/2008;0;1;0
Nate Schierholtz;24;2008;08/24/2008;0;0;1
Song Seung-Jun;28;2008;08/24/2008;1;0;0
Jeff Stevens;24;2008;08/24/2008;0;0;1
Stephen Strasburg;20;2008;08/24/2008;0;0;1
Taylor Teagarden;24;2008;08/24/2008;0;0;1
Terry Tiffee;29;2008;08/24/2008;0;0;1
Yoandri Urgellés;27;2008;08/24/2008;0;1;0
Norge Luis Vera;37;2008;08/24/2008;0;1;0
Casey Weathers;23;2008;08/24/2008;0;0;1
Yoon Suk-Min;22;2008;08/24/2008;1;0;0
Ryoji Aikawa;28;2004;08/29/2004;0;0;1
Craig Anderson;23;2004;08/29/2004;0;1;0
Yuya Ando;26;2004;08/29/2004;0;0;1
Danny Betancourt;23;2004;08/29/2004;1;0;0
Luis Borroto;21;2004;08/29/2004;1;0;0
Tom Brice;22;2004;08/29/2004;0;1;0
Adrian Burnside;27;2004;08/29/2004;0;1;0
Frederich Cepeda;24;2004;08/29/2004;1;0;0
Yorelvis Charles;25;2004;08/29/2004;1;0;0
Michel Enríquez;25;2004;08/29/2004;1;0;0
Gavin Fingleson;28;2004;08/29/2004;0;1;0
Atsushi Fujimoto;26;2004;08/29/2004;0;0;1
Kosuke Fukudome;27;2004;08/29/2004;0;0;1
Norberto González;24;2004;08/29/2004;1;0;0
Paul Gonzalez;35;2004;08/29/2004;0;1;0
Yulieski Gourriel;20;2004;08/29/2004;1;0;0
Hirotoshi Ishii;26;2004;08/29/2004;0;0;1
Hisashi Iwakuma;23;2004;08/29/2004;0;0;1
Hitoki Iwase;29;2004;08/29/2004;0;0;1
Kenji Johjima;28;2004;08/29/2004;0;0;1
Makoto Kaneko;28;2004;08/29/2004;0;0;1
Nick Kimpton;20;2004;08/29/2004;0;1;0
Takuya Kimura;32;2004;08/29/2004;0;0;1
Brendan Kingman;31;2004;08/29/2004;0;1;0
Masahide Kobayashi;30;2004;08/29/2004;0;0;1
Hiroki Kuroda;29;2004;08/29/2004;0;0;1
Pedro Luis Lazo;31;2004;08/29/2004;1;0;0
Craig Lewis;27;2004;08/29/2004;0;1;0
Graeme Lloyd;37;2004;08/29/2004;0;1;0
Roger Machado;30;2004;08/29/2004;1;0;0
Jonder Martínez;26;2004;08/29/2004;1;0;0
Daisuke Matsuzaka;23;2004;08/29/2004;0;0;1
Danny Miranda;25;2004;08/29/2004;1;0;0
Daisuke Miura;30;2004;08/29/2004;0;0;1
Shinya Miyamoto;33;2004;08/29/2004;0;0;1
Frank Montieth;19;2004;08/29/2004;1;0;0
Arihito Muramatsu;31;2004;08/29/2004;0;0;1
Norihiro Nakamura;31;2004;08/29/2004;0;0;1
Dave Nilsson;34;2004;08/29/2004;0;1;0
Vicyohandri Odelín;24;2004;08/29/2004;1;0;0
Trent Oeltjen;21;2004;08/29/2004;0;1;0
Michihiro Ogasawara;30;2004;08/29/2004;0;0;1
Wayne Ough;25;2004;08/29/2004;0;1;0
Chris Oxspring;27;2004;08/29/2004;0;1;0
Adiel Palma;33;2004;08/29/2004;1;0;0
Eduardo Paret;31;2004;08/29/2004;1;0;0
Ariel Pestano;30;2004;08/29/2004;1;0;0
Alexei Ramírez;22;2004;08/29/2004;1;0;0
Brett Roneberg;25;2004;08/29/2004;0;1;0
Ryan Rowland Smith;21;2004;08/29/2004;0;1;0
Eriel Sánchez;29;2004;08/29/2004;1;0;0
Antonio Scull;38;2004;08/29/2004;1;0;0
Naoyuki Shimizu;28;2004;08/29/2004;0;0;1
John Stephens;24;2004;08/29/2004;0;1;0
Phil Stockman;24;2004;08/29/2004;0;1;0
Carlos Tabares;30;2004;08/29/2004;1;0;0
Yoshinobu Takahashi;29;2004;08/29/2004;0;0;1
Brett Tamburrino;22;2004;08/29/2004;0;1;0
Yoshitomo Tani;31;2004;08/29/2004;0;0;1
Richard Thompson;20;2004;08/29/2004;0;1;0
Koji Uehara;29;2004;08/29/2004;0;0;1
Yoandri Urgellés;23;2004;08/29/2004;1;0;0
Osmani Urrutia;28;2004;08/29/2004;1;0;0
Andrew Utting;26;2004;08/29/2004;0;1;0
Rodney Van Buizen;23;2004;08/29/2004;0;1;0
Manuel Vega;29;2004;08/29/2004;1;0;0
Norge Luis Vera;33;2004;08/29/2004;1;0;0
Kazuhiro Wada;32;2004;08/29/2004;0;0;1
Tsuyoshi Wada;23;2004;08/29/2004;0;0;1
Ben Wigmore;22;2004;08/29/2004;0;1;0
Glenn Williams;27;2004;08/29/2004;0;1;0
Jeff Williams;32;2004;08/29/2004;0;1;0
Brent Abernathy;22;2000;10/01/2000;1;0;0
Kurt Ainsworth;22;2000;10/01/2000;1;0;0
Omar Ajete;35;2000;10/01/2000;0;1;0
Yosvany Aragón;26;2000;10/01/2000;0;1;0
Pat Borders;37;2000;10/01/2000;1;0;0
Sean Burroughs;20;2000;10/01/2000;1;0;0
Miguel Caldés;29;2000;10/01/2000;0;1;0
Danel Castro;24;2000;10/01/2000;0;1;0
José Contreras;28;2000;10/01/2000;0;1;0
John Cotton;29;2000;10/01/2000;1;0;0
Travis Dawkins;21;2000;10/01/2000;1;0;0
Yobal Dueñas;28;2000;10/01/2000;0;1;0
Adam Everett;23;2000;10/01/2000;1;0;0
Ryan Franklin;27;2000;10/01/2000;1;0;0
Chris George;21;2000;10/01/2000;1;0;0
Yasser Gómez;20;2000;10/01/2000;0;1;0
Gu Dae-Seong;31;2000;10/01/2000;0;0;1
Shane Heams;24;2000;10/01/2000;1;0;0
Hong Seong-Heun;23;2000;10/01/2000;0;0;1
José Ibar;31;2000;10/01/2000;0;1;0
Im Chang-Yong;24;2000;10/01/2000;0;0;1
Im Seon-Dong;27;2000;10/01/2000;0;0;1
Jang Seong-Ho;22;2000;10/01/2000;0;0;1
Marcus Jensen;27;2000;10/01/2000;1;0;0
Jeong Dae-Hyeon;21;2000;10/01/2000;0;0;1
Jeong Min-Tae;30;2000;10/01/2000;0;0;1
Jeong Su-Geun;23;2000;10/01/2000;0;0;1
Jin Pil-Jung;27;2000;10/01/2000;0;0;1
Kim Dong-Ju;24;2000;10/01/2000;0;0;1
Kim Gi-Tae;31;2000;10/01/2000;0;0;1
Kim Han-Su;28;2000;10/01/2000;0;0;1
Kim Su-Gyeong;21;2000;10/01/2000;0;0;1
Kim Tae-Gyun;29;2000;10/01/2000;0;0;1
Orestes Kindelán;35;2000;10/01/2000;0;1;0
Mike Kinkade;27;2000;10/01/2000;1;0;0
Rick Krivda;30;2000;10/01/2000;1;0;0
Pedro Luis Lazo;27;2000;10/01/2000;0;1;0
Lee Byeong-Gyu;25;2000;10/01/2000;0;0;1
Lee Seung-Ho;19;2000;10/01/2000;0;0;1
Lee Seung-Yeop;24;2000;10/01/2000;0;0;1
Omar Linares;32;2000;10/01/2000;0;1;0
Oscar Macias;31;2000;10/01/2000;0;1;0
Juan Manrique;33;2000;10/01/2000;0;1;0
Javier Méndez;36;2000;10/01/2000;0;1;0
Rolando Meriño;29;2000;10/01/2000;0;1;0
Germán Mesa;33;2000;10/01/2000;0;1;0
Doug Mientkiewicz;26;2000;10/01/2000;1;0;0
Mike Neill;30;2000;10/01/2000;1;0;0
Roy Oswalt;23;2000;10/01/2000;1;0;0
Antonio Pacheco;36;2000;10/01/2000;0;1;0
Park Gyeong-Wan;28;2000;10/01/2000;0;0;1
Park Jae-Hong;27;2000;10/01/2000;0;0;1
Park Jin-Man;23;2000;10/01/2000;0;0;1
Park Jong-Ho;27;2000;10/01/2000;0;0;1
Park Seok-Jin;28;2000;10/01/2000;0;0;1
Ariel Pestano;26;2000;10/01/2000;0;1;0
Gabriel Pierre;33;2000;10/01/2000;0;1;0
Jon Rauch;21;2000;10/01/2000;1;0;0
Maels Rodríguez;20;2000;10/01/2000;0;1;0
Anthony Sanders;26;2000;10/01/2000;1;0;0
Antonio Scull;35;2000;10/01/2000;0;1;0
Bobby Seay;22;2000;10/01/2000;1;0;0
Ben Sheets;22;2000;10/01/2000;1;0;0
Son Min-Han;25;2000;10/01/2000;0;0;1
Song Jin-U;34;2000;10/01/2000;0;0;1
Luis Ulacia;36;2000;10/01/2000;0;1;0
Lazaro Valle;37;2000;10/01/2000;0;1;0
Norge Luis Vera;29;2000;10/01/2000;0;1;0
Brad Wilkerson;23;2000;10/01/2000;1;0;0
Todd Williams;29;2000;10/01/2000;1;0;0
Ernie Young;31;2000;10/01/2000;1;0;0
Tim Young;26;2000;10/01/2000;1;0;0
Nicola Adams;29;2012;08/12/2012;1;0;0
Misha Aloyan;23;2012;08/12/2012;0;0;1
Lázaro Álvarez;21;2012;08/12/2012;0;0;1
Adriana Araújo;31;2012;08/12/2012;0;0;1
Abbos Atayev;26;2012;08/12/2012;0;0;1
David Ayrapetyan;28;2012;08/12/2012;0;0;1
Paddy Barnes;25;2012;08/12/2012;0;0;1
Denys Berinchyk;24;2012;08/12/2012;0;1;0
Roberto Cammarelle;32;2012;08/12/2012;0;1;0
Luke Campbell;24;2012;08/12/2012;1;0;0
Mavzuna Choriyeva;19;2012;08/12/2012;0;0;1
Michael Conlan;20;2012;08/12/2012;0;0;1
Ivan Dychko;21;2012;08/12/2012;0;0;1
Marlen Esparza;23;2012;08/12/2012;0;0;1
Fred Evans;21;2012;08/12/2012;0;1;0
Esquiva Florentino;22;2012;08/12/2012;0;1;0
Yamaguchi Florentino;24;2012;08/12/2012;0;0;1
Han Sun-Cheol;27;2012;08/12/2012;0;1;0
Oleksandr Hvozdyk;25;2012;08/12/2012;0;0;1
Roniel Iglesias;23;2012;08/12/2012;1;0;0
Anthony Joshua;22;2012;08/12/2012;1;0;0
M. C. Mary Kom;29;2012;08/12/2012;0;0;1
Li Jinzi;22;2012;08/12/2012;0;0;1
Vasyl Lomachenko;24;2012;08/12/2012;1;0;0
Vincenzo Mangiacapre;23;2012;08/12/2012;0;0;1
Yegor Mekhontsev;27;2012;08/12/2012;1;0;0
Ryota Murata;26;2012;08/12/2012;1;0;0
M?h?mm?dr?sul M?cidov;25;2012;08/12/2012;0;0;1
Teymur M?mm?dov;19;2012;08/12/2012;0;0;1
John Joe Nevin;23;2012;08/12/2012;0;1;0
Adilbek Niyazymbetov;23;2012;08/12/2012;0;1;0
Nyambayaryn Tögstsogt;20;2012;08/12/2012;0;1;0
Sofya Ochigava;25;2012;08/12/2012;0;1;0
Anthony Ogogo;23;2012;08/12/2012;0;0;1
Evaldas Petrauskas;20;2012;08/12/2012;0;0;1
Kaeo Pongprayoon;32;2012;08/12/2012;0;1;0
Tervel Pulev;29;2012;08/12/2012;0;0;1
Robeisy Ramírez;18;2012;08/12/2012;1;0;0
Ren Cancan;24;2012;08/12/2012;0;1;0
Clemente Russo;30;2012;08/12/2012;0;1;0
Serik Sapiyev;28;2012;08/12/2012;1;0;0
Taras Shelestiuk;26;2012;08/12/2012;0;0;1
Claressa Shields;17;2012;08/12/2012;1;0;0
Satoshi Shimizu;26;2012;08/12/2012;0;0;1
Katie Taylor;26;2012;08/12/2012;1;0;0
Yasnier Toledo;22;2012;08/12/2012;0;0;1
Nadezhda Torlopova;33;2012;08/12/2012;0;1;0
Uranchimegiin Mönkh-Erdene;30;2012;08/12/2012;0;0;1
Oleksandr Usik;25;2012;08/12/2012;1;0;0
Marina Volnova;23;2012;08/12/2012;0;0;1
Andrey Zamkovoy;25;2012;08/12/2012;0;0;1
Zou Shiming;31;2012;08/12/2012;1;0;0
Osmay Acosta;23;2008;08/24/2008;0;0;1
Georgiy Balakshin;28;2008;08/24/2008;0;0;1
Carlos Banteux;21;2008;08/24/2008;0;1;0
Paddy Barnes;21;2008;08/24/2008;0;0;1
Manus Boonjumnong;28;2008;08/24/2008;0;1;0
Roberto Cammarelle;28;2008;08/24/2008;1;0;0
Rakhim Chakhkiyev;25;2008;08/24/2008;1;0;0
Emilio Correa Jr.;22;2008;08/24/2008;0;1;0
James DeGale;22;2008;08/24/2008;1;0;0
Félix Díaz;24;2008;08/24/2008;1;0;0
Khédafi Djelkhir;24;2008;08/24/2008;0;1;0
Kenny Egan;26;2008;08/24/2008;0;1;0
Enkhbatyn Badar-Uugan;23;2008;08/24/2008;1;0;0
Vaeceslav Gojan;25;2008;08/24/2008;0;0;1
Hanati Silamu;23;2008;08/24/2008;0;0;1
Yampier Hernández;23;2008;08/24/2008;0;0;1
V'iacheslav Hlazkov;23;2008;08/24/2008;0;0;1
Roniel Iglesias;19;2008;08/24/2008;0;0;1
Sahin Imranov;27;2008;08/24/2008;0;0;1
Hrachik Javakhyan;24;2008;08/24/2008;0;0;1
Tony Jeffries;23;2008;08/24/2008;0;0;1
Somjit Jongjohor;33;2008;08/24/2008;1;0;0
Bruno Julie;30;2008;08/24/2008;0;0;1
Yakup Kiliç;22;2008;08/24/2008;0;0;1
Kim Jeong-Ju;26;2008;08/24/2008;0;0;1
Andry Laffita;30;2008;08/24/2008;0;1;0
Yankiel León;26;2008;08/24/2008;0;1;0
Vasyl Lomachenko;20;2008;08/24/2008;1;0;0
Vincenzo Picardi;24;2008;08/24/2008;0;0;1
David Price;25;2008;08/24/2008;0;0;1
Pürevdorjin Serdamba;23;2008;08/24/2008;0;1;0
Clemente Russo;26;2008;08/24/2008;0;1;0
Bakhyt Sarsekbayev;26;2008;08/24/2008;1;0;0
Yerkebulan Shynaliyev;20;2008;08/24/2008;0;0;1
Vijender Singh;22;2008;08/24/2008;0;0;1
Daouda Sow;25;2008;08/24/2008;0;1;0
Darren Sutherland;26;2008;08/24/2008;0;0;1
Aleksey Tishchenko;24;2008;08/24/2008;1;0;0
Yordenis Ugás;22;2008;08/24/2008;0;0;1
Alexis Vastine;21;2008;08/24/2008;0;0;1
Deontay Wilder;22;2008;08/24/2008;0;0;1
Zhang Xiaoping;26;2008;08/24/2008;1;0;0
Zhang Zhilei;25;2008;08/24/2008;0;1;0
Zou Shiming;27;2008;08/24/2008;1;0;0
Mohamed Aly;29;2004;08/29/2004;0;1;0
Lorenzo Aragon;30;2004;08/29/2004;0;1;0
Magomed Aripgadzhiyev;26;2004;08/29/2004;0;1;0
Bakhtiyar Artayev;21;2004;08/29/2004;1;0;0
Fuad Aslanov;21;2004;08/29/2004;0;0;1
Yan Barthelemí;24;2004;08/29/2004;1;0;0
Manus Boonjumnong;24;2004;08/29/2004;1;0;0
Roberto Cammarelle;24;2004;08/29/2004;0;0;1
Andre Dirrell;21;2004;08/29/2004;0;0;1
Mohamed El-Sayed;31;2004;08/29/2004;0;0;1
Naser El-Shami;22;2004;08/29/2004;0;0;1
Yuriorkis Gamboa;22;2004;08/29/2004;1;0;0
Gaydarbek Gaydarbekov;27;2004;08/29/2004;1;0;0
Boris Georgiev;21;2004;08/29/2004;0;0;1
Ionut Gheorghe;20;2004;08/29/2004;0;0;1
Gennady Golovkin;22;2004;08/29/2004;0;1;0
Ahmed Ismail;28;2004;08/29/2004;0;0;1
Jo Seok-Hwan;24;2004;08/29/2004;0;0;1
Yudel Johnson;23;2004;08/29/2004;0;1;0
Sergey Kazakov;28;2004;08/29/2004;0;0;1
Amir Khan;17;2004;08/29/2004;0;1;0
Utkirbek Khaydarov;30;2004;08/29/2004;0;0;1
Murat Khrachov;21;2004;08/29/2004;0;0;1
Kim Jeong-Ju;22;2004;08/29/2004;0;0;1
Kim Song-Guk;20;2004;08/29/2004;0;1;0
Mario Kindelán;33;2004;08/29/2004;1;0;0
Michel López;27;2004;08/29/2004;0;0;1
Agasi M?mm?dov;24;2004;08/29/2004;0;0;1
Worapoj Petchkoom;23;2004;08/29/2004;0;1;0
Aleksandr Povetkin;24;2004;08/29/2004;1;0;0
Suriya Prasathinphimai;24;2004;08/29/2004;0;0;1
Rustam Rahimov;29;2004;08/29/2004;0;0;1
Guillermo Rigondeaux;23;2004;08/29/2004;1;0;0
Oleg Saitov;30;2004;08/29/2004;0;0;1
Odlanier Solís;24;2004;08/29/2004;1;0;0
Bakhodirdzhon Sultanov;19;2004;08/29/2004;0;0;1
Vitali Tajbert;22;2004;08/29/2004;0;0;1
Jérôme Thomas;25;2004;08/29/2004;0;1;0
Aleksey Tishchenko;20;2004;08/29/2004;1;0;0
André Ward;20;2004;08/29/2004;1;0;0
Atagün Yalçinkaya;17;2004;08/29/2004;0;1;0
Serik Yeleuov;23;2004;08/29/2004;0;0;1
Zou Shiming;23;2004;08/29/2004;0;0;1
Viktor Zuyev;21;2004;08/29/2004;0;1;0
Mukhammad Kadyr Abdullayev;26;2000;10/01/2000;1;0;0
Mohamed Allalou;26;2000;10/01/2000;0;0;1
Brahim Asloum;21;2000;10/01/2000;1;0;0
Cristian Bejarano;19;2000;10/01/2000;0;0;1
Vladimir Ch'ant'uria;22;2000;10/01/2000;0;0;1
Serhiy Danylchenko;26;2000;10/01/2000;0;0;1
Mukhtarkhan Dildabekov;24;2000;10/01/2000;0;1;0
Serhiy Dotsenko;21;2000;10/01/2000;0;1;0
Kamil Dzhamaludinov;21;2000;10/01/2000;0;0;1
Zsolt Erdei;26;2000;10/01/2000;0;0;1
Andriy Fedchuk;20;2000;10/01/2000;0;0;1
Gaydarbek Gaydarbekov;23;2000;10/01/2000;0;1;0
Vitalie Grusac;23;2000;10/01/2000;0;0;1
Jorge Gutiérrez;25;2000;10/01/2000;1;0;0
Audley Harrison;28;2000;10/01/2000;1;0;0
Sultan-Akhmed Ibragimov;25;2000;10/01/2000;0;1;0
Yermakhan Ibraimov;28;2000;10/01/2000;1;0;0
Ricardo Juarez;20;2000;10/01/2000;0;1;0
Kim Un-Chol;20;2000;10/01/2000;0;0;1
Mario Kindelán;29;2000;10/01/2000;1;0;0
Sebastian Köber;21;2000;10/01/2000;0;0;1
Andriy Kotelnyk;22;2000;10/01/2000;0;1;0
Rudi Kraj;22;2000;10/01/2000;0;1;0
Aleksandr Lebzyak;31;2000;10/01/2000;1;0;0
Rafael Lozano;30;2000;10/01/2000;0;1;0
Diógenes Luña;23;2000;10/01/2000;0;0;1
Raimkul Malakhbekov;26;2000;10/01/2000;0;1;0
Aleksandr Maletin;25;2000;10/01/2000;0;0;1
Sergey Mikhaylov;24;2000;10/01/2000;0;0;1
Wijan Ponlid;24;2000;10/01/2000;1;0;0
Guillermo Rigondeaux;19;2000;10/01/2000;1;0;0
Maikro Romero;27;2000;10/01/2000;0;0;1
Rustam Saidov;22;2000;10/01/2000;0;0;1
Oleg Saitov;26;2000;10/01/2000;1;0;0
Bekzat Sattarkhanov;20;2000;10/01/2000;1;0;0
Félix Savón;32;2000;10/01/2000;1;0;0
Dorel Simion;23;2000;10/01/2000;0;0;1
Marian Simion;25;2000;10/01/2000;0;1;0
Volodymyr Sydorenko;23;2000;10/01/2000;0;0;1
Tahar Tamsamani;20;2000;10/01/2000;0;0;1
Jermain Taylor;22;2000;10/01/2000;0;0;1
Jérôme Thomas;21;2000;10/01/2000;0;0;1
Pornchai Thongburan;26;2000;10/01/2000;0;0;1
Paolo Vidoz;30;2000;10/01/2000;0;0;1
Clarence Vinson;22;2000;10/01/2000;0;0;1
Ricardo Williams Jr.;19;2000;10/01/2000;0;1;0
Bolat Zhumadilov;27;2000;10/01/2000;0;1;0
Vüqar Mursal ?l?kb?rov;19;2000;10/01/2000;0;0;1
Richy Adjei;27;2010;02/28/2010;0;1;0
David Bissett;30;2010;02/28/2010;0;0;1
Lascelles Brown;35;2010;02/28/2010;0;0;1
Shelley-Ann Brown;29;2010;02/28/2010;0;1;0
Thomas Florschütz;32;2010;02/28/2010;0;1;0
Steve Holcomb;29;2010;02/28/2010;1;0;0
Kaillie Humphries;24;2010;02/28/2010;1;0;0
Chris le Bihan;32;2010;02/28/2010;0;0;1
Steve Mesler;31;2010;02/28/2010;1;0;0
Elana Meyers;25;2010;02/28/2010;0;0;1
Heather Moyse;31;2010;02/28/2010;1;0;0
Justin Olsen;22;2010;02/28/2010;1;0;0
Erin Pac;29;2010;02/28/2010;0;0;1
Martin Putze;25;2010;02/28/2010;0;1;0
Alexander Rödiger;24;2010;02/28/2010;0;1;0
Lyndon Rush;29;2010;02/28/2010;0;0;1
Curt Tomasevicz;29;2010;02/28/2010;1;0;0
Helen Upperton;30;2010;02/28/2010;0;1;0
Aleksey Voyevoda;29;2010;02/28/2010;0;0;1
Aleksandr Zubkov;35;2010;02/28/2010;0;0;1
Lascelles Brown;31;2006;02/26/2006;0;1;0
Valerie Fleming;29;2006;02/26/2006;0;1;0
Cédric Grand;30;2006;02/26/2006;0;0;1
René Hoppe;29;2006;02/26/2006;1;0;0
Jennifer Isacco;28;2006;02/26/2006;0;0;1
Thomas Lamparter;27;2006;02/26/2006;0;0;1
Pierre Lueders;35;2006;02/26/2006;0;1;0
Sandra Prokoff-Kiriasis;31;2006;02/26/2006;1;0;0
Martin Putze;21;2006;02/26/2006;1;0;0
Shauna Rohbock;28;2006;02/26/2006;0;1;0
Anja Schneiderheinze;27;2006;02/26/2006;1;0;0
Aleksey Seliverstov;29;2006;02/26/2006;0;1;0
Aleksey Voyevoda;25;2006;02/26/2006;0;1;0
Gerda Weissensteiner;37;2006;02/26/2006;0;0;1
Filipp Yegorov;27;2006;02/26/2006;0;1;0
Aleksandr Zubkov;31;2006;02/26/2006;0;1;0
Steve Anderhub;31;2002;02/24/2002;0;1;0
Martin Annen;28;2002;02/24/2002;0;0;1
Jill Bakken;25;2002;02/24/2002;1;0;0
Carsten Embach;33;2002;02/24/2002;1;0;0
Susi Erdmann;34;2002;02/24/2002;0;0;1
Vonetta Flowers;28;2002;02/24/2002;1;0;0
Todd Hays;32;2002;02/24/2002;0;1;0
Beat Hefti;24;2002;02/24/2002;0;0;1
Nicole Herschmann;26;2002;02/24/2002;0;0;1
Garrett Hines;32;2002;02/24/2002;0;1;0
Ulrike Holzner;33;2002;02/24/2002;0;1;0
Randy Jones;32;2002;02/24/2002;0;1;0
Mike Kohn;29;2002;02/24/2002;0;0;1
Enrico Kühn;24;2002;02/24/2002;1;0;0
Kevin Kuske;23;2002;02/24/2002;1;0;0
André Lange;28;2002;02/24/2002;1;0;0
Christoph Langen;39;2002;02/24/2002;1;0;0
Sandra Prokoff-Kiriasis;27;2002;02/24/2002;0;1;0
Christian Reich;34;2002;02/24/2002;0;1;0
