Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Marcelo Ferreira;38;2004;08/29/2004;1;0;0
Paul Foerster;40;2004;08/29/2004;1;0;0
Gal Fridman;28;2004;08/29/2004;1;0;0
Andreas Geritzer;26;2004;08/29/2004;0;1;0
Joe Glanfield;25;2004;08/29/2004;0;1;0
Torben Grael;44;2004;08/29/2004;1;0;0
Roman Hagara;38;2004;08/29/2004;1;0;0
Simon Hiscocks;31;2004;08/29/2004;0;0;1
Dorte Jensen;31;2004;08/29/2004;0;0;1
Helle Jespersen;36;2004;08/29/2004;0;0;1
Nikos Kaklamanakis;35;2004;08/29/2004;0;1;0
Hanna Kalinina;25;2004;08/29/2004;0;1;0
Mateusz Kusznierewicz;29;2004;08/29/2004;0;0;1
Santiago Lange;42;2004;08/29/2004;0;0;1
Heorhiy Leonchuk;30;2004;08/29/2004;0;1;0
Signe Livbjerg;24;2004;08/29/2004;0;0;1
John Lovell;36;2004;08/29/2004;0;1;0
Rodion Luka;31;2004;08/29/2004;0;1;0
Ross MacDonald;39;2004;08/29/2004;0;1;0
Iker Martínez;27;2004;08/29/2004;1;0;0
Svitlana Matevusheva;23;2004;08/29/2004;0;1;0
Faustine Merret;26;2004;08/29/2004;1;0;0
Charlie Ogletree;36;2004;08/29/2004;0;1;0
Christina Otzen;28;2004;08/29/2004;0;0;1
Pascal Rambeau;32;2004;08/29/2004;0;0;1
Shirley Robertson;36;2004;08/29/2004;1;0;0
Nick Rogers;27;2004;08/29/2004;0;1;0
Xavier Rohart;36;2004;08/29/2004;0;0;1
Robert Scheidt;31;2004;08/29/2004;1;0;0
Kazuto Seki;28;2004;08/29/2004;0;0;1
Alessandra Sensini;34;2004;08/29/2004;0;0;1
Lenka Šmídová;29;2004;08/29/2004;0;1;0
Hans-Peter Steinacher;35;2004;08/29/2004;1;0;0
Siren Sundby;21;2004;08/29/2004;1;0;0
Ruslana Taran;33;2004;08/29/2004;0;1;0
Kenjiro Todoroki;28;2004;08/29/2004;0;0;1
Therese Torgersson;28;2004;08/29/2004;0;0;1
Rafael Trujillo;28;2004;08/29/2004;0;1;0
Aimilia Tsoulfa;31;2004;08/29/2004;1;0;0
Natalia Vía Dufresne;31;2004;08/29/2004;0;1;0
Sarah Webb;27;2004;08/29/2004;1;0;0
Mike Wolfs;33;2004;08/29/2004;0;1;0
Yin Jian;25;2004;08/29/2004;0;1;0
Vendela Zachrisson-Santén;26;2004;08/29/2004;0;0;1
Vasilij Žbogar;28;2004;08/29/2004;0;0;1
Ben Ainslie;23;2000;10/01/2000;1;0;0
Serena Amato;26;2000;10/01/2000;0;0;1
Jenny Armstrong;30;2000;10/01/2000;1;0;0
Gunnar Bahr;25;2000;10/01/2000;0;1;0
Jesper Bank;43;2000;10/01/2000;1;0;0
Ian Barker;34;2000;10/01/2000;0;1;0
Michael Blackburn;30;2000;10/01/2000;0;0;1
Henrik Blakskjær;29;2000;10/01/2000;1;0;0
Ingo Borkowski;28;2000;10/01/2000;0;1;0
Darren Bundock;29;2000;10/01/2000;0;1;0
Javier Conte;25;2000;10/01/2000;0;0;1
Mark Covell;32;2000;10/01/2000;0;1;0
Paul Davis;42;2000;10/01/2000;0;0;1
Juan de la Fuente;24;2000;10/01/2000;0;0;1
Luca Devoti;37;2000;10/01/2000;0;1;0
Carlos Espínola;28;2000;10/01/2000;0;1;0
Marcelo Ferreira;34;2000;10/01/2000;0;0;1
Paul Foerster;36;2000;10/01/2000;0;1;0
John Forbes;30;2000;10/01/2000;0;1;0
Roland Gäbler;35;2000;10/01/2000;0;0;1
Pease Glaser;38;2000;10/01/2000;0;1;0
Torben Grael;40;2000;10/01/2000;0;0;1
Roman Hagara;34;2000;10/01/2000;1;0;0
Simon Hiscocks;27;2000;10/01/2000;0;1;0
JJ Isler;36;2000;10/01/2000;0;1;0
Thomas Jacobsen;28;2000;10/01/2000;1;0;0
Jyrki Järvi;34;2000;10/01/2000;1;0;0
Herman Horn Johannessen;36;2000;10/01/2000;0;0;1
Thomas Johanson;31;2000;10/01/2000;1;0;0
Barbara Kendall;33;2000;10/01/2000;0;0;1
Tom King;27;2000;10/01/2000;1;0;0
Magnus Liljedahl;46;2000;10/01/2000;1;0;0
Fredrik Lööf;30;2000;10/01/2000;0;0;1
Amelie Lux;23;2000;10/01/2000;0;1;0
Margriet Matthijsse;23;2000;10/01/2000;0;1;0
Aaron McIntosh;28;2000;10/01/2000;0;0;1
Charlie McKee;38;2000;10/01/2000;0;0;1
Jonathan McKee;40;2000;10/01/2000;0;0;1
Bob Merrick;29;2000;10/01/2000;0;1;0
Olena Pakholchyk;35;2000;10/01/2000;0;0;1
Iain Percy;24;2000;10/01/2000;1;0;0
Mark Reynolds;44;2000;10/01/2000;1;0;0
Shirley Robertson;32;2000;10/01/2000;1;0;0
Robert Scheidt;27;2000;10/01/2000;0;1;0
Jochen Schümann;46;2000;10/01/2000;0;1;0
René Schwall;29;2000;10/01/2000;0;0;1
Alessandra Sensini;30;2000;10/01/2000;1;0;0
Christoph Sieber;29;2000;10/01/2000;1;0;0
Hans-Peter Steinacher;32;2000;10/01/2000;1;0;0
Espen Stokkeland;32;2000;10/01/2000;0;0;1
Belinda Stowell;29;2000;10/01/2000;1;0;0
Ruslana Taran;29;2000;10/01/2000;0;0;1
Mark Turnbull;26;2000;10/01/2000;1;0;0
Ian Walker;30;2000;10/01/2000;0;1;0
Chantal Achterberg;27;2012;08/12/2012;0;0;1
Filip Adamski;29;2012;08/12/2012;1;0;0
Carina Bär;22;2012;08/12/2012;0;1;0
Jacob Barsøe;23;2012;08/12/2012;0;0;1
